metal_salt_1,metal_salt_2,chiral_amine,molecular_sieve,solvent
Zn(OTf)2,none,"(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol",4A MS,Acetonitrile
CuI,ZnBr2,(S)-(+)-1-(2-Pyrrolidinylmethyl)pyrrolidine,4A MS,Acetonitrile
CuBr,Zn(OTf)2,(S)-pyrrolidin-3-ol,4A MS,Tetrahydrofuran
AgOTf,none,(S)-2-(pyrrolidin-2-yl)propan-2-ol,4A MS,"1,4-Dioxane"
Sc(OTf)3,none,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",4A MS,Toluene
ZnI2,none,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,4A MS,Acetonitrile
CuBr2,none,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,4A MS,Toluene
CuI,AgOTf,(S)-Pyrrolidin-2-ylbis(4-(trifluoromethyl)phenyl)methanol,4A MS,Tetrahydrofuran
ZnBr2,none,(S)-pyrrolidin-3-ol hydrochloride,4A MS,"2,2,2-Trifluoroethanol"
CuBr,none,(S)-(+)-1-(2-Pyrrolidinylmethyl)pyrrolidine,4A MS,"1,4-Dioxane"
