substrate_1,substrate_1_amount,substrate_2,substrate_2_amount,metal_salt_1,metal_salt_1_amount,metal_salt_2,metal_salt_2_amount,chiral_amine,chiral_amine_amount,molecular_sieve,molecular_sieve_amount,solvent,solvent_amount
苯乙炔,,正壬醛,,CuI,0.952 mg,AgOTf,1.285 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4Å MS,20 mg,DCE,1 mL
苯乙炔,,正壬醛,,CuI,0.952 mg,ZnBr2,1.126 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4Å MS,20 mg,MeCN,1 mL
苯乙炔,,正壬醛,,ZnI2,1.596 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4Å MS,20 mg,MeCN,1 mL
苯乙炔,,正壬醛,,CuBr,0.717 mg,ZnI2,1.596 mg,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",37.13 mg,4Å MS,20 mg,MeCN,1 mL
苯乙炔,,正壬醛,,CuBr2,1.117 mg,none,,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",37.13 mg,4Å MS,20 mg,Dioxane,1 mL
苯乙炔,,正壬醛,,CuI,0.952 mg,Zn(OTf)2,1.818 mg,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,33.77 mg,4Å MS,20 mg,THF,1 mL
苯乙炔,,正壬醛,,CuBr,0.717 mg,AgOTf,1.285 mg,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,37.61 mg,4Å MS,20 mg,DCE,1 mL
苯乙炔,,正壬醛,,ZnBr2,1.126 mg,none,,(S)-Pyrrolidin-2-ylbis(4-(trifluoromethyl)phenyl)methanol,46.72 mg,4Å MS,20 mg,MeCN,1 mL
苯乙炔,,正壬醛,,Cu(OTf)2,1.808 mg,none,,"(S)-Bis(3,5-bis(trifluoromethyl)phenyl)(pyrrolidin-2-yl)methanol",63.04 mg,none,,Dioxane,1 mL
苯乙炔,,正壬醛,,AgOTf,1.285 mg,ZnI2,1.596 mg,(S)-Di(naphthalen-2-yl)(pyrrolidin-2-yl)methanol,42.42 mg,4Å MS,20 mg,EtOAc,1 mL
