substrate_1,substrate_1_amount,substrate_2,substrate_2_amount,metal_salt_1,metal_salt_1_amount,metal_salt_2,metal_salt_2_amount,chiral_amine,chiral_amine_amount,molecular_sieve,molecular_sieve_amount,solvent,solvent_amount
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnI2,1.596 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr2,1.117 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuI,0.952 mg,ZnBr2,1.126 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr,0.717 mg,ZnI2,1.596 mg,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnI2,1.596 mg,none,,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",37.13 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr2,1.117 mg,none,,"(S)-Bis(3,5-dimethylphenyl)(pyrrolidin-2-yl)methanol",37.13 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnI2,1.596 mg,none,,(S)-Pyrrolidin-2-yldi-p-tolylmethanol,33.77 mg,none,,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuI,0.952 mg,ZnBr2,1.126 mg,(S)-Bis(4-methoxyphenyl)(pyrrolidin-2-yl)methanol,37.61 mg,4A MS,20 mg,MeCN,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,CuBr,0.717 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,none,,Dioxane,1 mL
苯乙炔,10.98 uL,正壬醛,20.64 uL,ZnBr2,1.126 mg,none,,"(S)-(-)-α,α-Diphenyl-2-pyrrolidinemethanol",30.4 mg,4A MS,20 mg,DCE,1 mL
